"Province.State","Country.Region","Lat","Long","date","cases","type"
"","Azerbaijan",40.1431,47.5769,2020-03-26,29,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-27,43,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-28,17,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-29,27,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-30,64,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-03-31,25,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-01,61,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-02,41,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-03,43,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-04,78,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-05,63,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-06,57,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-07,76,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-08,105,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-09,104,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-10,65,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-11,67,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-12,40,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-13,50,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-14,49,"confirmed"
"","Azerbaijan",40.1431,47.5769,2020-04-15,56,"confirmed"
